question_id,question,expected_disease,expected_intent,disease_hit_at_5,intent_hit_at_5,recall_pass,historical_violation,top_titles,top_scores
Q011,유행성이하선염 예방접종 대상과 접종 확인 방법은?,유행성이하선염,prevention,1,1,1,0,유행성이하선염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 유행성이하선염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 유행성이하선염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종,1.2731 | 1.1708 | 1.1666 | 1.1603 | 1.1591
Q012,유행성이하선염 감염을 피하기 위한 노출 예방수칙은?,유행성이하선염,prevention,1,1,1,0,2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 감염병 관리 사업 안내(최종) | 2026년도 예방접종 대상 감염병 관리 지침_최종,1.1307 | 1.1190 | 1.0783 | 1.0322 | 0.9928
Q013,유행성이하선염의 주요 증상과 조기 진료가 필요한 시점은?,유행성이하선염,symptom_response,1,1,1,0,2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종,1.1090 | 1.0821 | 1.0098 | 0.9205 | 0.8871
Q014,유행성이하선염가 많이 발생하는 지역이나 계절은?,유행성이하선염,risk_explanation,1,1,1,0,2026년도 예방접종 대상 감염병 관리 지침_최종 | 유행성이하선염_질병관리청_국가건강정보포털 | 유행성이하선염_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 유행성이하선염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,1.0130 | 0.9501 | 0.9439 | 0.8765 | 0.8151
Q015,군 복무 중 유행성이하선염가 의심되면 어디에 보고하고 진료받나요?,유행성이하선염,military_care,1,1,1,0,2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종,0.9608 | 0.8497 | 0.7265 | 0.7213 | 0.7052
Q016,백일해 예방접종 대상과 접종 확인 방법은?,백일해,prevention,1,1,1,0,백일해_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 백일해_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 백일해_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 백일해_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,1.0277 | 1.0213 | 0.9587 | 0.9557 | 0.9411
Q017,백일해 감염을 피하기 위한 노출 예방수칙은?,백일해,prevention,1,1,1,0,2026년도 예방접종 대상 감염병 관리 지침_최종 | 백일해_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종,0.9658 | 0.8130 | 0.7493 | 0.7493 | 0.7260
Q018,백일해의 주요 증상과 조기 진료가 필요한 시점은?,백일해,symptom_response,1,1,1,0,백일해_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 백일해_질병관리청_국가건강정보포털 | 백일해_질병관리청_국가건강정보포털 | 2026년도 예방접종 대상 감염병 관리 지침_최종,0.7417 | 0.7265 | 0.7141 | 0.6825 | 0.6748
Q019,백일해가 많이 발생하는 지역이나 계절은?,백일해,risk_explanation,1,1,1,0,2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종,1.0045 | 0.9238 | 0.8375 | 0.7349 | 0.7344
Q020,군 복무 중 백일해가 의심되면 어디에 보고하고 진료받나요?,백일해,military_care,1,1,1,0,2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 2026년도 예방접종 대상 감염병 관리 지침_최종 | 백일해_질병관리청_국가건강정보포털 | 행정규칙 _ 국방 환자관리 훈령,0.6952 | 0.5811 | 0.5413 | 0.4712 | 0.4562
Q021,A형간염 예방접종 대상과 접종 확인 방법은?,A형간염,prevention,1,1,1,0,A형간염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | A형간염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | A형간염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | A형간염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | A형간염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,1.1233 | 1.1163 | 1.0610 | 1.0084 | 0.9879
Q022,A형간염 감염을 피하기 위한 노출 예방수칙은?,A형간염,prevention,1,1,1,0,(26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | A형간염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,1.0532 | 0.7822 | 0.7451 | 0.7309 | 0.7293
Q023,A형간염의 주요 증상과 조기 진료가 필요한 시점은?,A형간염,symptom_response,1,1,1,0,A형간염_질병관리청 국가건강정보포털 | A형간염_질병관리청 국가건강정보포털 | A형간염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용),0.9523 | 0.7849 | 0.7377 | 0.7201 | 0.7157
Q024,A형간염가 많이 발생하는 지역이나 계절은?,A형간염,risk_explanation,1,1,1,0,(26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | A형간염_질병관리청 국가건강정보포털 | 2026년도 감염병 관리 사업 안내(최종) | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용),0.8414 | 0.8274 | 0.7386 | 0.6808 | 0.6390
Q025,군 복무 중 A형간염가 의심되면 어디에 보고하고 진료받나요?,A형간염,military_care,1,1,1,0,(6.16.수정)2026년 국가예방접종 지침(의료기관용)_단면 | 행정규칙 _ 국방 환자관리 훈령 | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | 행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령,0.5684 | 0.5358 | 0.5005 | 0.4853 | 0.4726
Q026,일본뇌염 예방접종 대상과 접종 확인 방법은?,일본뇌염,prevention,1,1,1,0,일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 전국 일본뇌염 주의보 발령(3.20.금) | 일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,1.1256 | 1.0243 | 0.9419 | 0.8953 | 0.8625
Q027,일본뇌염 감염을 피하기 위한 노출 예방수칙은?,일본뇌염,prevention,1,1,1,0,2026년도 감염병 관리 사업 안내(최종) | 전국 일본뇌염 주의보 발령(3.20.금) | 일본뇌염_질병관리청_국가건강정보포털 | 일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,0.9724 | 0.9499 | 0.8508 | 0.8259 | 0.8108
Q028,일본뇌염의 주요 증상과 조기 진료가 필요한 시점은?,일본뇌염,symptom_response,1,1,1,0,일본뇌염_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 일본뇌염_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 전국 일본뇌염 주의보 발령(3.20.금),1.0109 | 0.9739 | 0.7858 | 0.7785 | 0.6134
Q029,일본뇌염가 많이 발생하는 지역이나 계절은?,일본뇌염,risk_explanation,1,1,1,0,일본뇌염_질병관리청_국가건강정보포털 | 일본뇌염_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 전국 일본뇌염 주의보 발령(3.20.금) | 일본뇌염_질병관리청_국가건강정보포털 | 전국 일본뇌염 주의보 발령(3.20.금),0.8865 | 0.7784 | 0.7314 | 0.6919 | 0.6186
Q030,군 복무 중 일본뇌염가 의심되면 어디에 보고하고 진료받나요?,일본뇌염,military_care,1,1,1,0,일본뇌염_질병관리청_국가건강정보포털 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령 | 행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령 | 행정규칙 _ 국방 환자관리 훈령,0.6422 | 0.6149 | 0.5432 | 0.5332 | 0.5329
Q031,신증후군출혈열 예방접종 대상과 접종 확인 방법은?,신증후군출혈열,prevention,1,1,1,0,신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | (6.16.수정)2026년 국가예방접종 지침(의료기관용)_단면,1.2186 | 1.1747 | 1.1467 | 1.1412 | 1.1073
Q032,신증후군출혈열 감염을 피하기 위한 노출 예방수칙은?,신증후군출혈열,prevention,1,1,1,0,신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털 | 신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용,1.1227 | 0.8861 | 0.8670 | 0.8635 | 0.8325
Q033,신증후군출혈열의 주요 증상과 조기 진료가 필요한 시점은?,신증후군출혈열,symptom_response,1,1,1,0,2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털 | 신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털 | 신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용,1.0580 | 1.0199 | 0.9537 | 0.9261 | 0.8914
Q034,신증후군출혈열가 많이 발생하는 지역이나 계절은?,신증후군출혈열,risk_explanation,1,1,1,0,신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털 | 신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털 | 신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털,1.0947 | 1.0438 | 0.9792 | 0.9442 | 0.8464
Q035,군 복무 중 신증후군출혈열가 의심되면 어디에 보고하고 진료받나요?,신증후군출혈열,military_care,1,1,1,0,2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 신증후군출혈열_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기,0.9805 | 0.9054 | 0.8718 | 0.8215 | 0.7800
Q036,쯔쯔가무시증 예방접종 대상과 접종 확인 방법은?,쯔쯔가무시증,prevention,1,1,1,0,쯔쯔가무시증_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 쯔쯔가무시증_질병관리청_국가건강정보포털 | 신증후군출혈열(한타바이러스감염증)_질병관리청_국가건강정보포털 | 쯔쯔가무시증_질병관리청_국가건강정보포털,1.0907 | 1.0582 | 0.9962 | 0.9541 | 0.9078
Q037,쯔쯔가무시증 감염을 피하기 위한 노출 예방수칙은?,쯔쯔가무시증,prevention,1,1,1,0,쯔쯔가무시증_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 2026년도 감염병 관리 사업 안내(최종) | 쯔쯔가무시증_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용,1.0151 | 0.9775 | 0.9664 | 0.8735 | 0.8184
Q038,쯔쯔가무시증의 주요 증상과 조기 진료가 필요한 시점은?,쯔쯔가무시증,symptom_response,1,1,1,0,2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 쯔쯔가무시증_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 쯔쯔가무시증_질병관리청_국가건강정보포털,1.0502 | 1.0467 | 1.0365 | 1.0153 | 0.9485
Q039,쯔쯔가무시증가 많이 발생하는 지역이나 계절은?,쯔쯔가무시증,risk_explanation,1,1,1,0,쯔쯔가무시증_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 쯔쯔가무시증_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 쯔쯔가무시증_질병관리청_국가건강정보포털,1.0842 | 0.8939 | 0.7821 | 0.7291 | 0.6722
Q040,군 복무 중 쯔쯔가무시증가 의심되면 어디에 보고하고 진료받나요?,쯔쯔가무시증,military_care,1,1,1,0,2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 쯔쯔가무시증_질병관리청_국가건강정보포털 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 2026년도 말라리아 관리지침(수정),0.8847 | 0.8370 | 0.8140 | 0.7716 | 0.7552
Q041,장병이 아프면 부대에서 가장 먼저 어디에 알려야 하나요?,,military_care,1,1,1,0,수두_질병관리청_국가건강정보포털 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령,0.6934 | 0.6903 | 0.5965 | 0.5368 | 0.4747
Q042,군병원 진료가 원칙인가요?,,military_care,1,1,1,0,행정규칙 _ 민간위탁진료 업무 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 민간위탁진료 업무 훈령 | 행정규칙 _ 국방 환자관리 훈령,1.0061 | 0.8702 | 0.8578 | 0.8238 | 0.7832
Q043,민간병원 진료가 가능한 경우는 언제인가요?,,military_care,1,1,1,0,행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 2026년도 말라리아 관리지침(수정) | 행정규칙 _ 민간위탁진료 업무 훈령,0.5585 | 0.3874 | 0.3687 | 0.3427 | 0.3403
Q044,응급상황에서 민간의료기관을 이용할 수 있나요?,,military_care,1,1,1,0,행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령 | 행정규칙 _ 국방 환자관리 훈령 | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | 2026년도 말라리아 관리지침(수정),0.7303 | 0.5032 | 0.4424 | 0.4063 | 0.3866
Q045,외진과 환자후송 절차는 어떻게 다른가요?,,military_care,1,1,1,0,행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 국방 환자관리 훈령,1.0394 | 1.0274 | 1.0163 | 0.9556 | 0.9441
Q046,민간위탁진료 승인 절차를 알려주세요.,,military_care,1,1,1,0,행정규칙 _ 민간위탁진료 업무 훈령 | 행정규칙 _ 민간위탁진료 업무 훈령 | 행정규칙 _ 민간위탁진료 업무 훈령 | 행정규칙 _ 민간위탁진료 업무 훈령 | 행정규칙 _ 민간위탁진료 업무 훈령,1.0923 | 1.0008 | 0.9524 | 0.8727 | 0.8416
Q047,진료 목적 청원휴가는 어떤 절차로 확인하나요?,,military_care,1,1,1,0,행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령 | 행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령 | 행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령,1.0162 | 0.8692 | 0.8604 | 0.8308 | 0.8306
Q048,감염병 환자를 발견하면 군에서 어떤 신고를 하나요?,,military_care,1,1,1,0,(26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 2026년 법정감염병 진단·신고기준 지침_최종 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 2026년도 예방접종 대상 감염병 관리 지침_최종,0.6615 | 0.5424 | 0.5246 | 0.5222 | 0.5107
Q049,공무상요양비 신청 시 어떤 서류를 확인해야 하나요?,,state_support,1,1,1,0,행정규칙 _ 공무상요양비 업무 훈령 | 행정규칙 _ 공무상요양비 업무 훈령 | 행정규칙 _ 공무상요양비 업무 훈령 | 행정규칙 _ 공무상요양비 업무 훈령 | 행정규칙 _ 공무상요양비 업무 훈령,0.8152 | 0.8024 | 0.6777 | 0.6769 | 0.6456
Q050,군 의료기관과 민간 의료기관의 역할은 무엇인가요?,,military_care,1,1,1,0,2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 법령 _ 본문 _ 군보건의료에 관한 법률 | 2026년도 진드기설치류 매개 감염병 관리지침-전자용 | 행정규칙 _ 국방 환자관리 훈령 | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용),0.6087 | 0.5820 | 0.5102 | 0.4952 | 0.4892
Q051,건강보험 급여와 비급여는 어떻게 다른가요?,,nhis,1,1,1,0,건강보험심사평가원_건강보험_용어사전_RAG용 | (6.16.수정)2026년 국가예방접종 지침(의료기관용)_단면 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 국방 환자관리 훈령 | 건강보험심사평가원_건강보험_용어사전_RAG용,0.7288 | 0.6242 | 0.6063 | 0.5974 | 0.5926
Q052,병원에서 낸 본인부담금이 맞는지 확인하려면?,,nhis,1,1,1,0,건강보험심사평가원_건강보험_용어사전_RAG용 | 행정규칙 _ 국방 환자관리 훈령 | 건강보험심사평가원_건강보험_용어사전_RAG용 | 행정규칙 _ 국방 환자관리 훈령 | 행정규칙 _ 장병 진료목적의 청원휴가 등에 관한 훈령,0.8013 | 0.5195 | 0.5143 | 0.5106 | 0.4779
Q053,진료비 확인 제도는 어디에 신청하나요?,,nhis,1,1,1,0,진료비 확인 _ 조회·신청 _ 건강보험심사평가원 | 진료비 확인 _ 조회·신청 _ 건강보험심사평가원 | 진료비 확인 _ 조회·신청 _ 건강보험심사평가원 | 진료비 확인 _ 조회·신청 _ 건강보험심사평가원 | (6.16.수정)2026년 국가예방접종 지침(의료기관용)_단면,0.6557 | 0.6181 | 0.6090 | 0.5847 | 0.5683
Q054,요양급여비용과 본인부담금의 의미는?,,nhis,1,1,1,0,(6.16.수정)2026년 국가예방접종 지침(의료기관용)_단면 | 본인부담률 및 부담액 _ 건강보험 본인부담기준 안내 _ 본인부담기준 _ 제도·정책 _ 건강보험심사평가원 | 건강보험심사평가원_건강보험_용어사전_RAG용 | 건강보험심사평가원_건강보험_용어사전_RAG용 | 행정규칙 _ 국방 환자관리 훈령,0.8363 | 0.6305 | 0.6274 | 0.5971 | 0.5240
Q055,민간병원 검사 비용이 건강보험 대상인지 어떻게 확인하나요?,,nhis,1,1,1,0,(6.16.수정)2026년 국가예방접종 지침(의료기관용)_단면 | (6.16.수정)2026년 국가예방접종 지침(의료기관용)_단면 | 행정규칙 _ 국방 환자관리 훈령 | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용) | (26년5월_수정발간)2026년도 바이러스 간염 관리지침(전자용),0.7717 | 0.6237 | 0.5876 | 0.5727 | 0.5305
Q056,나라사랑카드 보험이 감염병 진료비를 보장하나요?,,card_insurance,1,1,1,0,,
Q057,KB 나라사랑카드 보험금을 받을 수 있나요?,,card_insurance,1,1,1,0,,
Q058,과거 나라사랑카드 약관을 현재 보장으로 봐도 되나요?,,card_insurance,1,1,1,0,,
Q059,카드보험 상품명과 적용기간을 어디서 확인하나요?,,card_insurance,1,1,1,0,,
Q060,질병명만으로 나라사랑카드 보험 지급을 판단할 수 있나요?,,card_insurance,1,1,1,0,,
